code,name,rainfall_zone,dominant_soil_type,soil_modifier,verified
MH_AHILYANAGAR,Ahilyanagar (Ahmednagar),medium,vertisol,1.05,FALSE
MH_AKOLA,Akola,medium,vertisol,1.10,FALSE
MH_AMRAVATI,Amravati,medium,vertisol,1.10,FALSE
MH_BEED,Beed,low,vertisol,0.95,FALSE
MH_BHANDARA,Bhandara,high,inceptisol,1.15,FALSE
MH_BULDHANA,Buldhana,medium,vertisol,1.05,FALSE
MH_CHANDRAPUR,Chandrapur,medium,vertisol,1.10,FALSE
MH_CSAMBHAJINAGAR,Chhatrapati Sambhajinagar (Aurangabad),low,vertisol,1.01,FALSE
MH_DHARASHIV,Dharashiv (Osmanabad),low,vertisol,0.95,FALSE
MH_DHULE,Dhule,medium,vertisol,1.00,FALSE
MH_GADCHIROLI,Gadchiroli,high,laterite,1.15,FALSE
MH_GONDIA,Gondia,high,inceptisol,1.15,FALSE
MH_HINGOLI,Hingoli,low,vertisol,0.95,FALSE
MH_JALGAON,Jalgaon,medium,vertisol,1.05,FALSE
MH_JALNA,Jalna,low,vertisol,0.95,FALSE
MH_KOLHAPUR,Kolhapur,high,laterite,1.20,FALSE
MH_LATUR,Latur,low,vertisol,0.95,FALSE
MH_MUMBAI_CITY,Mumbai City,high,laterite,1.00,FALSE
MH_MUMBAI_SUBURBAN,Mumbai Suburban,high,laterite,1.00,FALSE
MH_NAGPUR,Nagpur,high,vertisol,1.23,FALSE
MH_NANDED,Nanded,low,vertisol,0.98,FALSE
MH_NANDURBAR,Nandurbar,medium,vertisol,1.00,FALSE
MH_NASHIK,Nashik,medium,inceptisol,1.05,FALSE
MH_PALGHAR,Palghar,high,laterite,1.18,FALSE
MH_PARBHANI,Parbhani,low,vertisol,0.95,FALSE
MH_PUNE,Pune,medium,vertisol,1.18,FALSE
MH_RAIGAD,Raigad,high,laterite,1.18,FALSE
MH_RATNAGIRI,Ratnagiri,high,laterite,1.18,FALSE
MH_SANGLI,Sangli,medium,vertisol,1.05,FALSE
MH_SATARA,Satara,medium,vertisol,1.08,FALSE
MH_SINDHUDURG,Sindhudurg,high,laterite,1.18,FALSE
MH_SOLAPUR,Solapur,low,vertisol,0.98,FALSE
MH_THANE,Thane,high,laterite,1.15,FALSE
MH_WARDHA,Wardha,medium,vertisol,1.10,FALSE
MH_WASHIM,Washim,medium,vertisol,1.05,FALSE
MH_YAVATMAL,Yavatmal,medium,vertisol,1.08,FALSE
